name	context	language	url	split	grammar pattern	Count	notes	split_words	final_axial_code_role	final_axial_code_meaning	Review Status	Christian Axial Code Role	Christian Axial Code Meaning	Syreen Axial Code Role	Syreen Axial Code Meaning	Anthony Axial Code Role	Anthony Axial Code Meaning
_dist2	ATTRIBUTE	C++	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/collide/collisionHandlerQueue.cxx	dist 2	N D	125	The "2" in the name indicates that this is storing the squared distance, not the actual distance stores the squared distance between two points. The 2 is a specification.	['dist', '2']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
_field37	ATTRIBUTE	C	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/plcrashreporter/Tools/google-toolbox-for-mac-trunk-r582/XcodePlugin/XcodeHeaders/DevToolsCore.h	field 37	N D	125	This variable is auto generated and the number is most likely just a distinguisher-- used to satisfy the compiler and avoid name collissions	['field', '37']	Distinguisher	Auto-Generated	Agree	Distinguisher	Auto-Generated	Distinguisher	Auto-Generated	Distinguisher	Auto-Generated
_field4	ATTRIBUTE	C	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/plcrashreporter/Tools/google-toolbox-for-mac-trunk-r582/XcodePlugin/XcodeHeaders/DevToolsCore.h	field 4	N D	125	This variable is auto generated and the number is most likely just a distinguisher-- used to satisfy the compiler and avoid name collissions	['field', '4']	Distinguisher	Auto-Generated	Agree	Distinguisher	Auto-Generated	Distinguisher	Auto-Generated	Distinguisher	Auto-Generated
_field63	ATTRIBUTE	C	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/plcrashreporter/Tools/google-toolbox-for-mac-trunk-r582/XcodePlugin/XcodeHeaders/DevToolsCore.h	field 63	N D	125	This variable is auto generated and the number is most likely just a distinguisher-- used to satisfy the compiler and avoid name collissions	['field', '63']	Distinguisher	Auto-Generated	Agree	Distinguisher	Auto-Generated	Distinguisher	Auto-Generated	Distinguisher	Auto-Generated
_host1	PARAMETER	C	https://github.com/naemon/naemon-core/blob/7558c98937ffb15c040daf158f92827b1f338ba6/src/naemon/objects_host.c	host 1	N D	125	distinguisher -- represents one of two hosts	['host', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
a0	PARAMETER	C	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/vendor/cigraph/vendor/f2c/s_cmp.c	a 0	N D	125	code compares two strings. a0 is the original pointer to the first string. The 0 is a distinguisher, it only adds a bit more uniqueness to the name.	['a', '0']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
a3	DECLARATION	C	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/poco/PDF/src/gzio.c	a 3	N D	125	This variable is probably auto generated, but nevertheless is just one of a sequence of arguments. The 'a' probably means argument and 3, the digit, is a distinguisher to avoid name collissions	['a', '3']	Distinguisher	Auto-Generated	Agree	Distinguisher	Auto-Generated	Distinguisher	Auto-Generated	Distinguisher	Auto-Generated
adler1	DECLARATION	C	https://github.com/mgba-emu/mgba/blob/c8cfaefcc880e668b0db8ba5f8b49978f0d108fd/src/third-party/zlib/adler32.c	adler 1	N D	125	distinguisher -- represents one of two values	['adler', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
arg1	PARAMETER	Java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/util/JiveInitialLdapContext.java	arg 1	N D	125	The number in this variable is a distinguisher used to differntiate from another variable with the same name, other than the number. The code looks very boilerplatey.	['arg', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
arg18	PARAMETER	Java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/blas/BLASLapackDelegator.java	arg 18	N D	125	auto generated code (incremented numbers / distinguishers)	['arg', '18']	Distinguisher	Auto-Generated	Agree	Distinguisher	Auto-Generated	Distinguisher	Auto-Generated	Distinguisher	Auto-Generated
