name	context	language		grammar pattern	split	Count	Notes	final_axial_code	Christian Axial Code	Eman Axial Code	Syreen Axial Code
_before_major	ATTRIBUTE	C++	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/putil/bamWriter.cxx	P N	before major	70	This variable is part of a struct that holds the state of an obsolete name along with the versioning information. The variable, before_major, represents the major version of a BAM file and is used to denote a version number preceding a major update or change in the BAM file format. It conveys that that version of the current object is prior to a significant (major) version.	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context
_before_minor	ATTRIBUTE	C++	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/putil/bamWriter.cxx	P N	before minor	70	This variable is part of a struct that holds the state of an obsolete name along with the versioning information. The variable, before_minor, represents the minor version of a BAM file and is used to denote a version number preceding a minor update or change in the BAM file format. It conveys that that version of the current object is prior to a minor version.	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context
aboveBase	PARAMETER	C++	https://github.com/facebook/proxygen/blob/5370e58851d6b363f1edbc542a0daa369ebbf303/proxygen/lib/http/codec/compress/QPACKDecoder.cpp	P N	above Base	70	this variable is a boolean flag that indicates whether the header field being decoded has an index above the current base value. It helps determine if the index should be interpreted relative to the current base or absolute value. The wor d"above" conveys that the index in question is positioned higher than the base reference point.	Boolean Flow / Control Flag x Position / Ordering in Time / Space / Execution Context	Boolean Flow / Control Flag	Boolean Flow / Control Flag	Boolean Flow / Control Flag
after_handle	DECLARATION	C	https://github.com/ipkn/crow/blob/2b43d3cd6a9a9cdbc99dfef9b86ff3f3027f3d1f/include/crow/middleware.h	P N	after handle	70	This variable is a function that runs after handling a request. It modifies the response header with some cookie information.	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context
after_release	ATTRIBUTE	C	https://github.com/wireshark/wireshark/blob/13f21ebd59317f59b91ce7a48a234ef48989ccf0/plugins/epan/mate/mate.h	P N	after release	70	This variable specifies the time, in milliseconds, to retain the protocol Data Unit (PDU( after its been released. This allows MATE to analyze and correlate PDUs even after release. The word, after, indicates that the specified time duration pertains to the period following the release of the PDU-- it remains relevant for analysis for a time after its release.	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context
afterEquals	DECLARATION	Java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/database/ProfiledConnection.java	P N	after Equals	70	This variable represents the state of parsing an SQL string. If the string contains equals, then this variable, which is a boolean, will become true after the equals int hat string has been scanned by the for loop that is analyzing the sql string.	Boolean Flow / Control Flag x Position / Ordering in Time / Space / Execution Context	Boolean Flow / Control Flag	Boolean Flow / Control Flag	Boolean Flow / Control Flag
afterRound	ATTRIBUTE	Java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/generator/src/org/immutables/generator/EnvironmentState.java	P N	after Round	70	This variable represents tasks that will be executing after a processing around completes.	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context
as_binary	ATTRIBUTE	C	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/vendor/cigraph/vendor/glpk/mpl/mpl.h	P N	as binary	70	this variable is an integer that serves as a boolean flag used when GLPK is parsing parameter statements. It is used to indicate that the parameter being parsed should be interpreted as binary	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
as_field	FUNCTION	C++	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/direct/src/dcparser/dcField.cxx	P N	as field	70	this variable is a function that allows the calling object to be treated or referenced explictly as a DCField. The preposition, as, conveys that the function provides an interpretation of the current object in the capactiy of a DCField.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
as_file	PARAMETER	C	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/libgit2/diff_file.h	P N	as file	70	This variable represents a pointer to the a git_diff_file struct. It represents a destination structure to store information derived from a blob or a buffer. The name implies that it represents a struct into which the function converts or interprets source content. This is supported by the name of the function it appears within, which specifies that this git_diff_file_content is being interpreted from_src. So it represents interpreting src as git_diff_file	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
as_pointer	FUNCTION	C++	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/dtool/src/cppparser/cppExpression.cxx	P N	as pointer	70	This variable represents a function that (re)interprets the calling object as different types of pointers depending on the type of the object that calls it. The use of 'as' in this case is specifying how the calling object is interpereted, and since this function provides sveral options via switch..case, there are differen interpretations that could be taken based on the characteristis of the calling object	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
