name	context	language	url	split	grammar pattern	notes	final_axial_code
_lookandfeel	ATTRIBUTE	Java	https://github.com/igniterealtime/Spark/blob/ca028f3a818b94c00f2f600933109087d84fb0b9/core/src/main/java/org/jivesoftware/spark/ui/themes/ThemePanel.java	look and feel	NM CJ NM	This variable represents the Java Swing concepts of "look and feel", which is considered an important to the framework. The look and feel are a bundled style system in Java swing, so the 'and' here is really affirming the idea that these concepts are handled in one spot by Java Swing developers	Combined Configuration / UI Concept
and	DECLARATION	Java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/generator/src/org/immutables/generator/Builtins.java	and	CJ	This variable represents the concept of logical the logical 'and' operation. The identifier name, 'and', is a direct nod to the binary boolean function 'and'.	Boolean Concept Name
term_and_class	FUNCTION	C++	https://github.com/meta-toolkit/meta/blob/c7019401185cdfa15e1193aad821894c35a83e3f/src/features/feature_selector.cpp	term and class	N CJ N	This variable represents a logical conjunction used to encode joint probability. Term refers to a vocabulary item, and class is a label. The use of 'and' affirms the type of probability distribution: P(term and class)	Data Pair / Composite Value
treeandInfo	ATTRIBUTE	Java	https://github.com/igniterealtime/Spark/blob/ca028f3a818b94c00f2f600933109087d84fb0b9/core/src/main/java/org/jivesoftware/sparkimpl/plugin/privacy/ui/PrivacyListTree.java	tree and Info	N CJ N	This variable represents  a panel that contains both a tree and an info section. In other words, it combines two display types/areas. The use of 'and' indicates this combination of display types.	Data Pair / Composite Value
server_and_port	DECLARATION	C++	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/downloader/httpClient.cxx	server and port	N CJ N	This variable is a string that likely contains a string representation of a server url and its port, like example.com:80. Thus, it is used as a compound key of sorts representing the semantic unit of hostname and port.	Data Pair / Composite Value
data_or_diff	PARAMETER	C++	https://github.com/BVLC/caffe/blob/9b891540183ddc834a02b2bd81b31afae71b2153/matlab/+caffe/private/caffe_.cpp	data or diff	N CJ N	This variable is a parameter distinguishing between accessing data (forward values) or diff (backprop gradients). It's used to determine which memory pointer to retrieve. The use of 'or' indicates this variable's use use as a selector between two mutuall exclusive options-- it only contains one value at any given time; one or the other.	Data Pair / Composite Value
null_or_empty	FUNCTION	C++	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/protobuf/tf/google/protobuf/stubs/io_win32.cc	null or empty	NM CJ NM	This variable is a function used to check whether a string is null or the empty string. The use of 'or' affirms that it checks for both states, and if either state is detected, it returns true. It represents compound boolean logic.	Boolean Multi-Condition Test
throw_if_error	FUNCTION	C++	https://github.com/meta-toolkit/meta/blob/c7019401185cdfa15e1193aad821894c35a83e3f/src/io/xzstream.cpp	throw if error	V CJ N	This variable is a function that represents a conditional action pattern. It throws an exception only if the LZMA return code indicates an error. Thus the 'if' affirms the use of some conditional logic within the function-- throw only happens under certain conditions.	Guarded Action / Conditional Enablement
hash_and_save	FUNCTION	C	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/libgit2/indexer.c	hash and save	V CJ V	This variable is a function that performs two distinct actions. It hashes the object and saves object metadata. thus, the us of 'and' affirms the two operations that this function uses as subactions within its body.	Data Pair / Composite Value
warn_if_error	FUNCTION	C++	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/client/sound_openal.cpp	warn if error	V CJ N	This variable is a function that performs a conditional side effect; logging a warning message only if an OpenAL error is present. This is a conditional command, similar to throw_if_error, where the conjunction, if, indicates that there is a conditional under which the action will be taken.	Guarded Action / Conditional Enablement
