Name	context	language	repository	file	url	split	grammar pattern	Count	Christian Grammar Pattern	Syreen Grammar Pattern	Eman Grammar Pattern	Mahie Grammar Pattern
__a	PARAMETER	C++	drill	contrib/native/client/src/include/drill/drillClient.hpp	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/native/client/src/include/drill/drillClient.hpp	a	N	10	N	N	N	N
__T2MOV16SetImmediate	FUNCTION	C++	facebook-repo-ds2	Sources/Target/Linux/ARM/ProcessARM.cpp	https://github.com/fakeNetflix/facebook-repo-ds2/blob/eaf83c59b8fff11cc4c218da7b78a983754727ec/Sources/Target/Linux/ARM/ProcessARM.cpp	T 2 MOV 16 Set Immediate	N D N D V NM	1	N D N D V NM	N D N D V NM	N D N D V NM	N D N D V NM
_any_diffuse	ATTRIBUTE	C	panda3d	pandatool/src/maxegg/maxToEggConverter.h	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/pandatool/src/maxegg/maxToEggConverter.h	any diffuse	DT N	109	DT N	DT NM	DT N	DT N
_before_major	ATTRIBUTE	C++	panda3d	panda/src/putil/bamWriter.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/putil/bamWriter.cxx	before major	P N	70	P N	P N	P N	P N
_before_minor	ATTRIBUTE	C++	panda3d	panda/src/putil/bamWriter.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/putil/bamWriter.cxx	before minor	P N	70	P N	P N	P N	P N
_ccv_atan2	FUNCTION	C	ccv	lib/ccv_basic.c	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/ccv_basic.c	ccv atan 2	PRE N D	8	PRE N D	PRE PRE D	PRE PRE D	NM N D
_ccv_cnnp_batch_norm_add_to_output	FUNCTION	C	ccv	lib/nnc/ccv_cnnp_model_addons.c	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/nnc/ccv_cnnp_model_addons.c	ccv cnnp batch norm add to output	PRE PRE PRE PRE V P N	1	PRE PRE PRE PRE V P N	PRE PRE PRE PRE V P N	PRE PRE PRE PRE V P N	PRE PRE PRE PRE V P N
_dist2	ATTRIBUTE	C++	panda3d	panda/src/collide/collisionHandlerQueue.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/collide/collisionHandlerQueue.cxx	dist 2	N D	125	N D	N D	N D	N D
_field37	ATTRIBUTE	C	toggldesktop	third_party/plcrashreporter/Tools/google-toolbox-for-mac-trunk-r582/XcodePlugin/XcodeHeaders/DevToolsCore.h	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/plcrashreporter/Tools/google-toolbox-for-mac-trunk-r582/XcodePlugin/XcodeHeaders/DevToolsCore.h	field 37	N D	125	N D	N D	N D	N D
_field4	ATTRIBUTE	C	toggldesktop	third_party/plcrashreporter/Tools/google-toolbox-for-mac-trunk-r582/XcodePlugin/XcodeHeaders/DevToolsCore.h	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/plcrashreporter/Tools/google-toolbox-for-mac-trunk-r582/XcodePlugin/XcodeHeaders/DevToolsCore.h	field 4	N D	125	N D	N D	N D	N D
