word,total_count,system,system_count,system_sloc,normalized_system_count,languages,contexts,categories
from,6494,OpenBLAS,256,1905049,0.0001343797456128425,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
from,6494,antlr4,125,31425,0.003977724741447892,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
from,6494,arrow,558,405435,0.0013762995301343003,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
from,6494,bison,12,6688,0.0017942583732057417,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
from,6494,commons-collections,112,32688,0.0034263338228095936,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
from,6494,config,35,11460,0.0030541012216404886,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
from,6494,container,28,35432,0.0007902461052156243,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
from,6494,darknet,26,28478,0.0009129854624622516,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
from,6494,eigen,230,131099,0.00175439934705833,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
from,6494,godot,2416,2309439,0.0010461415088253035,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
from,6494,gtk,450,661507,0.0006802649102730583,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
from,6494,imgui,69,62219,0.0011089860010607693,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
from,6494,jhipster-bom,4,3457,0.0011570726063060456,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
from,6494,jmonkeyengine,200,168832,0.0011846095526914329,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
from,6494,jsoncpp,3,5642,0.0005317263381779511,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
from,6494,libcron,3,924,0.003246753246753247,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
from,6494,libjpeg-turbo,5,6570,0.00076103500761035,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
