word,total_count,system,system_count,system_sloc,normalized_system_count,languages,contexts,categories
to,16878,Openfire,385,109551,0.0035143449169793063,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,Singularity,550,100316,0.005482674747796961,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,Smack,643,89739,0.0071652235928637495,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,Spark,209,91707,0.0022789972412138658,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,caffe,59,21754,0.002712144892893261,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,ccv,280,274433,0.0010202854612965642,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,cglib,26,10058,0.002585006959634122,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,cling,57,29129,0.0019568127982423013,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,crow,2,8484,0.00023573785950023574,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,deeplearning4j,2324,554761,0.0041891913815138414,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,drill,1964,420706,0.004668343213550556,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,facebook-repo-ds2,58,9339,0.006210515044437306,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,freeminer,348,516,0.6744186046511628,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,git2r,147,114486,0.0012839997903673812,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,guava,1873,145688,0.012856240733622536,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,immutables,311,47133,0.006598349351834171,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,libxo,5,9062,0.0005517545795630103,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,meta,23,17650,0.001303116147308782,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,metrics,32,15234,0.002100564526716555,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,mgba,236,335182,0.0007040950886384113,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,naemon-core,47,38923,0.0012075122678108059,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,ovs,562,289815,0.001939168089988441,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,panda3d,766,589605,0.0012991748713121498,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,proxygen,88,22714,0.0038742625693404947,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,rigraph,1164,309989,0.0037549719506176026,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,s3fs-fuse,44,21103,0.002085011609723736,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,toggldesktop,1017,370691,0.002743524930467694,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,toxcore,89,24086,0.0036950925849040936,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,weechat,246,210295,0.0011697853016001331,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
to,16878,wireshark,3323,4346078,0.0007645974140362875,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,Openfire,9,109551,8.215351753977599e-05,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,Singularity,143,100316,0.00142549543442721,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,Smack,25,89739,0.0002785856762388705,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,Spark,33,91707,0.0003598416696653472,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,caffe,6,21754,0.00027581134503999266,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,ccv,43,274433,0.00015668669584197235,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,cglib,1,10058,9.942334460131238e-05,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,cling,15,29129,0.0005149507363795531,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
